Frau	O
Präsidentin	O
!	O

Meine	O
Damen	O
!	O

Meine	O
Herren	O
!	O

Kolleginnen	O
und	O
Kollegen	O
!	O

Lassen	O
Sie	O
mich	O
mit	O
dem	O
Thema	O
Bürokratieabbau	O
anfangen	O
;	O
Michael	O
Roth	O
hat	O
es	O
hier	O
am	O
Schluss	O
seiner	O
Rede	O
angesprochen	O
.	O

Im	O
Gegensatz	O
zu	O
dem	O
,	O
was	O
hier	O
gerade	O
vorgetragen	O
worden	O
ist	O
,	O
glaube	O
ich	O
,	O
dass	O
man	O
dabei	O
-	O
wie	O
bei	O
allem	O
in	O
der	O
Politik	O
-	O
mit	O
Augenmaß	O
vorgehen	O
muss	O
.	O

Es	O
ist	O
aber	O
falsch	O
,	O
ausgerechnet	O
beim	O
Bürokratieabbau	O
als	O
Allererstes	O
Augenmaß	O
zu	O
fordern	O
.	O

Notwendig	O
ist	O
,	O
dass	O
man	O
an	O
die	O
Sache	O
beherzt	O
herangeht	O
.	O

Ich	O
freue	O
mich	O
schon	O
auf	O
die	O
Auseinandersetzungen	O
zwischen	O
Günter	O
Verheugen	O
und	O
Edmund	O
Stoiber	O
,	O
den	O
beiden	O
Kämpfern	O
gegen	O
die	O
Bürokratie	O
.	O

Ich	O
denke	O
nur	O
an	O
das	O
Affentheater	O
,	O
das	O
wir	O
gerade	O
beim	O
Thema	O
Äppelwoi	O
erlebt	O
haben	O
.	O

Mit	O
einer	O
solch	O
unbedachten	O
Geschichte	O
wird	O
sehr	O
schnell	O
so	O
viel	O
politische	O
Initiative	O
kaputtgemacht	O
.	O

Man	O
kann	O
gar	O
nicht	O
so	O
viel	O
wiederaufbauen	O
,	O
wie	O
da	O
ganz	O
schnell	O
eingerissen	O
wurde	O
.	O

Wir	B-20_20	B-20_2002
brauchen	I-20_20	I-20_2002
einen	I-20_20	I-20_2002
vernünftigen	I-20_20	I-20_2002
Bürokratieabbau	I-20_20	I-20_2002
.	O

Ich	O
wünsche	O
mir	O
auch	O
von	O
der	O
SPD	O
,	O
dass	O
sie	O
dieses	O
Vorhaben	O
nicht	O
immer	O
wieder	O
hemmt	O
,	O
sondern	O
uneingeschränkt	O
mitträgt	O
,	O
und	O
dass	O
Günter	O
Verheugen	O
uneingeschränkt	O
unterstützt	O
wird	O
.	O

Das	O
Legislativ-	O
und	O
Arbeitsprogramm	O
enthält	O
ein	O
eigenes	O
Kapitel	O
zum	O
Thema	O
Bürokratieabbau	O
.	O

Es	O
enthält	O
auch	O
Ausführungen	O
zu	O
einigen	O
anderen	O
Themen	O
.	O

Ich	O
möchte	O
ganz	O
kurz	O
auf	O
den	O
Bereich	O
Verbesserung	O
der	O
Kommunikation	O
eingehen	O
.	O

Meine	O
Erfahrung	O
ist	O
,	O
dass	O
die	O
Europäische	O
Kommission	O
dort	O
sehr	O
viel	O
getan	O
hat	O
,	O
und	O
zwar	O
mit	O
einem	O
enormen	O
Mittelaufwand	O
,	O
und	O
dass	O
durchaus	O
etwas	O
bewirkt	O
wird	O
.	O

In	O
Gesprächen	O
mit	O
Bürgern	O
,	O
Schülern	O
und	O
Studenten	O
habe	O
ich	O
die	O
Erfahrung	O
gemacht	O
,	O
dass	O
es	O
durchaus	O
ein	O
vernünftiges	O
Niveau	O
der	O
Information	O
über	O
die	O
Europäische	O
Union	O
gibt	O
.	O

Dieses	O
Niveau	O
beschränkt	O
sich	O
in	O
der	O
Regel	O
aber	O
auf	O
diejenigen	O
Segmente	O
,	O
die	O
den	O
Einzelnen	O
interessieren	O
.	O

Es	O
gibt	O
wenig	O
abstraktes	O
Wissen	O
darüber	O
,	O
wie	O
der	O
Prozess	O
der	O
europäischen	O
Gesetzgebung	O
funktioniert	O
.	O

Würden	O
wir	O
dazu	O
hier	O
herumfragen	O
,	O
hätten	O
wir	O
,	O
glaube	O
ich	O
,	O
ebenfalls	O
ein	O
paar	O
Ausfälle	O
.	O

Ich	O
möchte	O
aber	O
ausdrücklich	O
loben	O
,	O
dass	O
die	O
Schüler	O
eine	O
sehr	O
gute	O
Kenntnis	O
dessen	O
haben	O
,	O
was	O
für	O
sie	O
relevant	O
ist	O
.	O

Das	O
Kernthema	O
dieses	O
Legislativ-	O
und	O
Arbeitsprogramms	O
-	O
damit	O
werden	O
wir	O
uns	O
im	O
Wesentlichen	O
auseinandersetzen	O
-	O
lautet	O
:	O
Wachstum	B-15_15	B-1_103	B-15_1599	B-1_1
und	I-1_1	I-15_15	I-15_1599	I-1_103
Arbeitsplätze	I-1_1	I-15_15	I-15_1599	I-1_103
.	O

Für	O
Deutschland	O
ist	O
das	O
eine	O
zentrale	O
Frage	O
.	O

Die	O
Bürger	O
erwarten	O
von	O
uns	O
,	O
dass	O
wir	O
uns	O
nach	O
Abschluss	O
der	O
Debatte	O
über	O
den	O
Reformvertrag	O
der	O
wahren	O
Probleme	O
annehmen	O
,	O
dass	O
wir	O
die	O
Politikfelder	O
bearbeiten	O
,	O
durch	O
die	O
Wachstum	O
und	O
Arbeitsplätze	O
geschaffen	O
werden	O
.	O

Die	B-15_15	B-19_19	B-19_1926	B-15_1599
OECD	I-19_1926	I-19_19	I-15_15	I-15_1599
hat	I-19_1926	I-19_19	I-15_15	I-15_1599
uns	I-19_1926	I-19_19	I-15_15	I-15_1599
mit	I-19_1926	I-19_19	I-15_15	I-15_1599
einer	I-19_1926	I-19_19	I-15_15	I-15_1599
Reihe	I-19_1926	I-19_19	I-15_15	I-15_1599
von	I-19_1926	I-19_19	I-15_15	I-15_1599
Punkten	I-19_1926	I-19_19	I-15_15	I-15_1599
mitgeteilt	I-19_1926	I-19_19	I-15_15	I-15_1599
,	I-19_1926	I-19_19	I-15_15	I-15_1599
was	I-19_1926	I-19_19	I-15_15	I-15_1599
wir	I-19_1926	I-19_19	I-15_15	I-15_1599
tun	I-19_1926	I-19_19	I-15_15	I-15_1599
müssen	I-19_1926	I-19_19	I-15_15	I-15_1599
,	I-19_1926	I-19_19	I-15_15	I-15_1599
um	I-19_1926	I-19_19	I-15_15	I-15_1599
den	I-19_1926	I-19_19	I-15_15	I-15_1599
Binnenmarkt	I-19_1926	I-19_19	I-15_15	I-15_1599
wieder	I-19_1926	I-19_19	I-15_15	I-15_1599
funktionsfähig	I-19_1926	I-19_19	I-15_15	I-15_1599
zu	I-19_1926	I-19_19	I-15_15	I-15_1599
machen	I-19_1926	I-19_19	I-15_15	I-15_1599
,	I-19_1926	I-19_19	I-15_15	I-15_1599
um	I-19_1926	I-19_19	I-15_15	I-15_1599
die	I-19_1926	I-19_19	I-15_15	I-15_1599
Potenziale	I-19_1926	I-19_19	I-15_15	I-15_1599
des	I-19_1926	I-19_19	I-15_15	I-15_1599
